Trait,Indicator,H2r,pvalue
VOXEL_44_113_135,114.087,0.113064,0.188962
VOXEL_44_114_77,114.867,0.110383,0.179164
VOXEL_44_114_80,125.129,0.313699,0.0239952
VOXEL_44_114_81,124.179,0.332851,0.0303939
VOXEL_44_114_107,115.5,0.168567,0.15197
VOXEL_44_114_126,121.799,0.269869,0.0143971
VOXEL_44_114_127,122.485,0.273245,0.0105979
VOXEL_44_114_134,119.732,0.180476,0.0471906
VOXEL_44_115_79,125.688,0.352996,0.0175965
VOXEL_44_115_80,113.713,0.13721,0.19796
VOXEL_44_115_81,117.715,0.236223,0.070186
VOXEL_44_115_106,112.577,0.0851167,0.216557
VOXEL_44_115_126,115.168,0.142146,0.134973
VOXEL_44_115_127,118.713,0.199511,0.0527894
VOXEL_44_115_133,118.258,0.202579,0.0859828
VOXEL_44_115_134,121.557,0.207472,0.0403919
VOXEL_44_116_78,116.73,0.18104,0.120176
VOXEL_44_116_79,114.367,0.128079,0.146571
VOXEL_44_116_82,122.456,0.243948,0.039792
VOXEL_44_116_83,117.772,0.216561,0.0655869
VOXEL_44_116_84,114.682,0.137383,0.142971
VOXEL_44_116_105,124.772,0.32425,0.0161968
VOXEL_44_116_106,115.157,0.137578,0.140772
VOXEL_44_116_125,113.316,0.0918144,0.222755
VOXEL_44_116_126,114.394,0.111662,0.188162
VOXEL_44_116_133,122.373,0.292755,0.0359928
VOXEL_44_116_134,119.643,0.184431,0.0521896
VOXEL_44_117_78,120.036,0.251283,0.0513897
VOXEL_44_117_82,122.903,0.288346,0.0187962
VOXEL_44_117_83,115.965,0.197278,0.0969806
VOXEL_44_117_84,115.431,0.169243,0.135373
VOXEL_44_117_85,122.539,0.264558,0.0109978
VOXEL_44_117_105,126.778,0.294729,0.00779844
VOXEL_44_117_125,113.473,0.0803976,0.208758
VOXEL_44_117_126,118.071,0.153725,0.0915817
VOXEL_44_117_133,126.511,0.288668,0.00859828
VOXEL_44_117_134,119.734,0.198898,0.0415917
VOXEL_44_118_76,120.608,0.269118,0.0535893
VOXEL_44_118_77,120.683,0.267762,0.0483903
VOXEL_44_118_78,120.069,0.268371,0.0485903
VOXEL_44_118_104,128.065,0.240053,0.0029994
VOXEL_44_118_105,130.225,0.286206,0.00159968
VOXEL_44_118_124,118.06,0.151385,0.0831834
VOXEL_44_118_125,120.388,0.172226,0.0533893
VOXEL_44_118_134,116.481,0.134514,0.0881824
VOXEL_44_119_75,109.326,0.0323419,0.393121
VOXEL_44_119_77,113.873,0.145809,0.209758
VOXEL_44_119_103,121.597,0.191396,0.0491902
VOXEL_44_119_104,123.667,0.17984,0.0379924
VOXEL_44_119_124,118.972,0.17623,0.0487902
VOXEL_44_119_134,118.962,0.210857,0.0603879
VOXEL_44_120_75,112.431,0.0884139,0.25055
VOXEL_44_120_76,113.573,0.128387,0.214157
VOXEL_44_120_102,113.054,0.0792743,0.215357
VOXEL_44_120_103,111.062,0.0447374,0.327734
VOXEL_44_120_123,118.229,0.131262,0.0527894
VOXEL_44_120_124,119.035,0.174718,0.0579884
VOXEL_44_120_133,120.782,0.240316,0.044991
VOXEL_44_120_134,114.711,0.123595,0.161768
VOXEL_44_121_74,118.737,0.291483,0.0595881
VOXEL_44_121_75,115.015,0.190248,0.138972
VOXEL_44_121_101,123.623,0.300644,0.0329934
VOXEL_44_121_102,113.909,0.0971745,0.222356
VOXEL_44_121_123,123.619,0.220846,0.0135973
VOXEL_44_121_134,111.867,0.0769799,0.271146
VOXEL_44_122_74,111.59,0.106568,0.288742
VOXEL_44_122_75,112.729,0.13363,0.229154
VOXEL_44_122_100,118.966,0.200493,0.064987
VOXEL_44_122_101,123.552,0.262068,0.0179964
VOXEL_44_122_102,113.469,0.110495,0.205959
VOXEL_44_122_122,120.28,0.180217,0.040192
VOXEL_44_122_123,123.753,0.240285,0.0171966
VOXEL_44_122_134,112.242,0.0823232,0.253749
VOXEL_44_123_73,107.697,0.00465914,0.468306
VOXEL_44_123_74,109.473,0.0501938,0.389122
VOXEL_44_123_99,115.194,0.133752,0.177564
VOXEL_44_123_100,119.929,0.153018,0.0489902
VOXEL_44_123_101,119.138,0.159548,0.0381924
VOXEL_44_123_121,118.285,0.165237,0.0559888
VOXEL_44_123_122,116.567,0.130362,0.10178
VOXEL_44_123_133,116.306,0.163183,0.114777
VOXEL_44_124_72,123.411,0.267534,0.0135973
VOXEL_44_124_73,113.394,0.0967072,0.192761
VOXEL_44_124_98,122.947,0.256288,0.0409918
VOXEL_44_124_99,113.43,0.0795893,0.209958
VOXEL_44_124_100,113.381,0.0913306,0.204159
VOXEL_44_124_121,116.948,0.143546,0.0733853
VOXEL_44_124_122,114.621,0.107743,0.155769
VOXEL_44_124_133,126.782,0.414675,0.0523895
VOXEL_44_125_72,114.641,0.14198,0.158568
VOXEL_44_125_97,117.071,0.206893,0.142971
VOXEL_44_125_98,119.337,0.251149,0.110778
VOXEL_44_125_99,129.887,0.299669,0.00179964
VOXEL_44_125_120,119.423,0.170595,0.0459908
VOXEL_44_125_121,116.614,0.125641,0.0911818
VOXEL_44_125_133,112.968,0.100573,0.193561
VOXEL_44_125_135,141.693,0.470113,0.00079984
VOXEL_44_126_71,109.134,0.0272015,0.39992
VOXEL_44_126_72,110.967,0.0669965,0.317736
VOXEL_44_126_73,108.871,0.0331118,0.416717
VOXEL_44_126_96,117.888,0.168687,0.0483903
VOXEL_44_126_97,117.426,0.22194,0.105179
VOXEL_44_126_98,120.961,0.249239,0.0671866
VOXEL_44_126_119,124.953,0.277375,0.0153969
VOXEL_44_126_120,119.698,0.16543,0.0535893
VOXEL_44_127_67,111.554,0.0808244,0.30234
VOXEL_44_127_68,122.62,0.252674,0.0461908
VOXEL_44_127_69,115.697,0.177227,0.188162
VOXEL_44_127_70,113.683,0.123312,0.19976
VOXEL_44_127_71,119.103,0.231777,0.0665867
VOXEL_44_127_72,111.019,0.0926016,0.327335
VOXEL_44_127_73,114.324,0.157212,0.212358
VOXEL_44_127_94,120.1,0.268672,0.0403919
VOXEL_44_127_95,124.308,0.34893,0.009998
VOXEL_44_127_96,121.666,0.321778,0.0235953
VOXEL_44_127_118,125.989,0.340552,0.0177964
VOXEL_44_127_119,126.702,0.309364,0.00959808
VOXEL_44_128_63,111.399,0.0919523,0.254549
VOXEL_44_128_65,108.04,0.0112094,0.45011
VOXEL_44_128_68,111.134,0.0833121,0.321536
VOXEL_44_128_69,109.581,0.0419945,0.383323
VOXEL_44_128_71,114.106,0.122523,0.186363
VOXEL_44_128_72,120.976,0.253196,0.0419916
VOXEL_44_128_73,113.441,0.105069,0.239952
VOXEL_44_128_92,111.318,0.0913492,0.305939
VOXEL_44_128_93,115.643,0.201968,0.131574
VOXEL_44_128_94,120.015,0.283723,0.0415917
VOXEL_44_128_95,123.16,0.381242,0.0165967
VOXEL_44_128_117,115.013,0.166923,0.15177
